Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)
51.794747	0.070012	0.311247	0.319024	38.770629	0.010006	0.404226	165.264501	165.264501	165.264501	0.804454	0.007887	2.830000	799.961641	282.824778	1.883598
52.540826	0.071996	0.315386	0.323499	39.263674	0.010006	0.404338	165.048353	165.048353	165.048353	0.805052	0.008351	2.830000	799.932337	282.818942	1.911267
53.297652	0.074035	0.319569	0.328033	39.756599	0.010007	0.404452	164.828928	164.828928	164.828928	0.805667	0.008841	2.830000	799.902045	282.812893	1.939356
54.065379	0.076130	0.323797	0.332626	40.249402	0.010007	0.404569	164.606169	164.606169	164.606169	0.806298	0.009361	2.830000	799.870728	282.806622	1.967873
54.844166	0.078282	0.328070	0.337280	40.742078	0.010007	0.404690	164.380022	164.380022	164.380022	0.806945	0.009911	2.830000	799.838349	282.800120	1.996825
55.634170	0.080494	0.332387	0.341995	41.234623	0.010007	0.404813	164.150431	164.150431	164.150431	0.807610	0.010494	2.830000	799.804868	282.793377	2.026218
56.435554	0.082767	0.336750	0.346772	41.727033	0.010008	0.404940	163.917339	163.917339	163.917339	0.808292	0.011110	2.830000	799.770243	282.786384	2.056061
57.248482	0.085102	0.341157	0.351611	42.219303	0.010008	0.405071	163.680687	163.680687	163.680687	0.808992	0.011763	2.830000	799.734431	282.779129	2.086361
58.073119	0.087500	0.345608	0.356513	42.711429	0.010008	0.405204	163.440416	163.440416	163.440416	0.809710	0.012454	2.830000	799.697388	282.771603	2.117124
58.909635	0.089965	0.350104	0.361478	43.203405	0.010008	0.405341	163.196464	163.196464	163.196464	0.810447	0.013185	2.830000	799.659066	282.763793	2.148360
59.758201	0.092496	0.354644	0.366508	43.695228	0.010009	0.405482	162.948771	162.948771	162.948771	0.811203	0.013960	2.830000	799.619418	282.755688	2.180076
60.618990	0.095096	0.359228	0.371602	44.186891	0.010009	0.405626	162.697272	162.697272	162.697272	0.811979	0.014780	2.830000	799.578391	282.747275	2.212279
61.492178	0.097767	0.363856	0.376762	44.678389	0.010009	0.405774	162.441903	162.441903	162.441903	0.812775	0.015648	2.830000	799.535934	282.738541	2.244979
62.377944	0.100510	0.368527	0.381987	45.169718	0.010010	0.405925	162.182599	162.182599	162.182599	0.813591	0.016566	2.830000	799.491991	282.729472	2.278183
63.276469	0.103327	0.373241	0.387279	45.660870	0.010010	0.406080	161.919293	161.919293	161.919293	0.814428	0.017539	2.830000	799.446504	282.720054	2.311901
64.187937	0.106221	0.377997	0.392638	46.151841	0.010010	0.406240	161.651915	161.651915	161.651915	0.815286	0.018568	2.830000	799.399413	282.710272	2.346139
65.112534	0.109192	0.382796	0.398065	46.642624	0.010011	0.406403	161.380397	161.380397	161.380397	0.816166	0.019658	2.830000	799.350656	282.700109	2.380909
66.050449	0.112243	0.387637	0.403560	47.133213	0.010011	0.406570	161.104667	161.104667	161.104667	0.817068	0.020812	2.830000	799.300167	282.689550	2.416218
67.001875	0.115376	0.392518	0.409124	47.623600	0.010011	0.406742	160.824653	160.824653	160.824653	0.817992	0.022033	2.830000	799.247878	282.678577	2.452075
67.967006	0.118592	0.397441	0.414757	48.113780	0.010012	0.406918	160.540279	160.540279	160.540279	0.818939	0.023325	2.830000	799.193718	282.667173	2.488490
68.946038	0.121894	0.402403	0.420460	48.603745	0.010012	0.407098	160.251472	160.251472	160.251472	0.819910	0.024693	2.830000	799.137613	282.655316	2.525473
69.939174	0.125284	0.407405	0.426233	49.093488	0.010013	0.407282	159.958153	159.958153	159.958153	0.820905	0.026141	2.830000	799.079484	282.642989	2.563033
70.946615	0.128764	0.412445	0.432077	49.583000	0.010013	0.407471	159.660244	159.660244	159.660244	0.821924	0.027674	2.830000	799.019252	282.630170	2.601179
71.968567	0.132336	0.417522	0.437993	50.072275	0.010014	0.407664	159.357664	159.357664	159.357664	0.822967	0.029296	2.830000	798.956831	282.616837	2.639923
73.005241	0.136002	0.422637	0.443980	50.561303	0.010014	0.407862	159.050332	159.050332	159.050332	0.824036	0.031013	2.830000	798.892134	282.602968	2.679274
74.056847	0.139764	0.427787	0.450040	51.050076	0.010015	0.408065	158.738163	158.738163	158.738163	0.825130	0.032830	2.830000	798.825068	282.588537	2.719242
75.123601	0.143625	0.432972	0.456172	51.538585	0.010015	0.408272	158.421072	158.421072	158.421072	0.826250	0.034753	2.830000	798.755537	282.573520	2.759839
76.205721	0.147586	0.438191	0.462378	52.026821	0.010016	0.408484	158.098973	158.098973	158.098973	0.827396	0.036788	2.830000	798.683441	282.557891	2.801074
77.303429	0.151651	0.443443	0.468657	52.514774	0.010016	0.408701	157.771775	157.771775	157.771775	0.828569	0.038942	2.830000	798.608675	282.541622	2.842959
78.416948	0.155821	0.448725	0.475010	53.002434	0.010017	0.408923	157.439389	157.439389	157.439389	0.829769	0.041221	2.830000	798.531130	282.524683	2.885504
79.546508	0.160099	0.454038	0.481437	53.489791	0.010017	0.409150	157.101722	157.101722	157.101722	0.830996	0.043633	2.830000	798.450691	282.507044	2.928722
80.692338	0.164487	0.459379	0.487940	53.976834	0.010018	0.409382	156.758679	156.758679	156.758679	0.832250	0.046186	2.830000	798.367238	282.488674	2.972623
81.854673	0.168988	0.464747	0.494517	54.463551	0.010019	0.409619	156.410163	156.410163	156.410163	0.833533	0.048886	2.830000	798.280648	282.469538	3.017220
83.033751	0.173603	0.470140	0.501169	54.949931	0.010019	0.409862	156.056077	156.056077	156.056077	0.834844	0.051744	2.830000	798.190790	282.449602	3.062523
